"SamplePeriod","TriggerSample","CompressedData"
"0.00000001","127418","True"
"SampleNumber","CS","MISO","MOSI","SCK"
"0011778","0","0","1","0"
"0011797","0","1","1","0"
"0011800","0","0","1","0"
"0012559","0","1","1","0"
"0012560","0","0","1","0"
"0012561","0","0","1","0"
"0012562","0","1","1","0"
"0012563","0","0","1","0"
"0012604","0","1","1","0"
"0012605","0","0","1","0"
"0013111","0","1","1","0"
"0013112","0","0","1","0"
"0013130","0","1","1","0"
"0013131","0","0","1","0"
"0013169","0","1","1","0"
"0013170","0","0","1","0"
"0013174","0","1","1","0"
"0013175","0","0","1","0"
"0013330","0","1","1","0"
"0013331","0","0","1","0"
"0013377","0","1","1","0"
"0013378","0","0","1","0"
"0013382","0","1","1","0"
"0013383","0","0","1","0"
"0013395","0","1","1","0"
"0013396","0","0","1","0"
"0013400","0","1","1","0"
"0013401","0","0","1","0"
"0013434","0","1","1","0"
"0013435","0","0","1","0"
"0013442","0","1","1","0"
"0013443","0","0","1","0"
"0013453","0","1","1","0"
"0013454","0","1","1","0"
"0013455","0","0","1","0"
"0013458","0","1","1","0"
"0013459","0","0","1","0"
"0013462","0","1","1","0"
"0013463","0","0","1","0"
"0013467","0","1","1","0"
"0013468","0","0","1","0"
"0013469","0","0","1","0"
"0013470","0","1","1","0"
"0013471","0","0","1","0"
"0013475","0","1","1","0"
"0013476","0","0","1","0"
"0013495","0","1","1","0"
"0013496","0","0","1","0"
"0013500","0","1","1","0"
"0013501","0","0","1","0"
"0013537","0","1","1","0"
"0013538","0","0","1","0"
"0013542","0","1","1","0"
"0013543","0","0","1","0"
"0013558","0","1","1","0"
"0013559","0","1","1","0"
"0013560","0","0","1","0"
"0013561","0","1","1","0"
"0013562","0","1","1","0"
"0013563","0","0","1","0"
"0013567","0","1","1","0"
"0013568","0","0","1","0"
"0013582","0","1","1","0"
"0013583","0","1","1","0"
"0013584","0","0","1","0"
"0014294","0","1","1","0"
"0014295","0","0","1","0"
"0014319","0","1","1","0"
"0014320","0","0","1","0"
"0014382","0","1","1","0"
"0014383","0","0","1","0"
"0014395","0","1","1","0"
"0014396","0","0","1","0"
"0014400","0","1","1","0"
"0014401","0","0","1","0"
"0014964","0","1","1","0"
"0014965","0","0","1","0"
"0015064","0","1","1","0"
"0015065","0","0","1","0"
"0015180","0","1","1","0"
"0015181","0","0","1","0"
"0015182","0","0","1","0"
"0015183","0","1","1","0"
"0015184","0","0","1","0"
"0015198","0","1","1","0"
"0015199","0","0","1","0"
"0015200","0","0","1","0"
"0015201","0","1","1","0"
"0015202","0","0","1","0"
"0015206","0","1","1","0"
"0015207","0","0","1","0"
"0015238","0","1","1","0"
"0015239","0","0","1","0"
"0015246","0","1","1","0"
"0015247","0","0","1","0"
"0015266","0","1","1","0"
"0015267","0","0","1","0"
"0015271","0","1","1","0"
"0015272","0","0","1","0"
"0015273","0","0","1","0"
"0015274","0","1","1","0"
"0015275","0","0","1","0"
"0015279","0","1","1","0"
"0015280","0","1","1","0"
"0015281","0","0","1","0"
"0015299","0","1","1","0"
"0015300","0","0","1","0"
"0015316","0","1","1","0"
"0015317","0","0","1","0"
"0015341","0","1","1","0"
"0015342","0","0","1","0"
"0015346","0","1","1","0"
"0015347","0","0","1","0"
"0015358","0","1","1","0"
"0015359","0","0","1","0"
"0015366","0","1","1","0"
"0015367","0","0","1","0"
"0015371","0","1","1","0"
"0015372","0","0","1","0"
"0015373","0","0","1","0"
"0015374","0","1","1","0"
"0015375","0","0","1","0"
"0015386","0","1","1","0"
"0015387","0","1","1","0"
"0015388","0","0","1","0"
"0016084","0","1","1","0"
"0016085","0","0","1","0"
"0016142","0","1","1","0"
"0016143","0","0","1","0"
"0016167","0","1","1","0"
"0016168","0","0","1","0"
"0016172","0","1","1","0"
"0016173","0","0","1","0"
"0016182","0","1","1","0"
"0016183","0","0","1","0"
"0016966","0","1","1","0"
"0016967","0","0","1","0"
"0016987","0","1","1","0"
"0016988","0","0","1","0"
"0016992","0","1","1","0"
"0016993","0","0","1","0"
"0017016","0","1","1","0"
"0017017","0","0","1","0"
"0017024","0","1","1","0"
"0017025","0","0","1","0"
"0017029","0","1","1","0"
"0017030","0","0","1","0"
"0017038","0","1","1","0"
"0017039","0","0","1","0"
"0017040","0","0","1","0"
"0017041","0","1","1","0"
"0017042","0","0","1","0"
"0017046","0","1","1","0"
"0017047","0","0","1","0"
"0017054","0","1","1","0"
"0017055","0","0","1","0"
"0017066","0","1","1","0"
"0017067","0","0","1","0"
"0017071","0","1","1","0"
"0017072","0","0","1","0"
"0017083","0","1","1","0"
"0017084","0","0","1","0"
"0017104","0","1","1","0"
